# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

aerosol-ambar.jpg  |  producto  |  LINEA SAPHIRUS - AMBAR  |  Aerosol ambar
burletes-zocalo-doble-premiun.jpg  |  producto  |  LINEA BURLETTES P/PUERTA  |  Burletes zocalo doble Premiun
cabo-de-madera-1-20.jpg  |  producto  |  LINEA DE CABOS  |  Cabo de madera 1,20
cabo-de-madera-1-50.jpg  |  producto  |  LINEA DE CABOS  |  Cabo de madera 1,50
cabo-de-madera-2-00.jpg  |  producto  |  LINEA DE CABOS  |  Cabo de madera 2,00
cabo-de-madera-p-barrendero.jpg  |  producto  |  LINEA DE CABOS  |  Cabo de madera P/Barrendero
cabo-extrensibles-3-00-mts.jpg  |  producto  |  LINEA DE CABOS  |  Cabo extrensibles 3,00 mts
cabo-extrensibles-1-50-mts.jpg  |  producto  |  LINEA DE CABOS  |  Cabo extrensibles 1,50 mts
cabo-metalico-forrados-1-20.jpg  |  producto  |  LINEA DE CABOS  |  Cabo metalico forrados 1,20
canasto-p-broches.jpg  |  producto  |  LINEA CANASTO  |  Canasto P/broches
canasto-redondo-mediano.jpg  |  producto  |  LINEA CANASTO  |  Canasto redondo mediano
canasto-p-ropa-cuadrado-con-tapa.jpg  |  producto  |  LINEA CANASTO  |  canasto P/ropa cuadrado con tapa
canasto-p-ropa-redondo-con-tapa.jpg  |  producto  |  LINEA CANASTO  |  Canasto P/ropa redondo con tapa
cepillo-limpia-techo-hongo.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo limpia techo Hongo
cepillo-unas-c-piedra-pomez.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo uñas C/piedra pomez
cepillo-unas-x2.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo uñas x2
cepillo-unas-c-u.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo uñas c/u
cepillo-lava-zapatilla.jpg  |  producto  |  LINEA CEPILLOS  |  cepillo lava-zapatilla
cepillo-planchita-y-cerrado.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo planchita y cerrado
cepillos-limpia-inodoro-chico.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillos limpia inodoro chico
cepillos-limpia-inodoro-grande.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillos limpia inodoro grande
cepillo-limpia-inodoro-c-base-extralimp.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillo limpia inodoro c/base extralimp
cepillos-limpia-inodoro-c-base-salzano.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillos limpia inodoro c/base salzano
cepillos-limpia-inodoro-c-base-importado-chico.jpg  |  producto  |  LINEA CEPILLOS  |  Cepillos limpia inodoro c/base importado Chico
cesto-de-basura-12-l-grande.jpg  |  producto  |  LINEA CESTO DE BASURA  |  Cesto de basura 12 l Grande
cesto-de-basura-5-l-chico.jpg  |  producto  |  LINEA CESTO DE BASURA  |  Cesto de basura 5 l chico
cesto-de-basura-c-pedal-13lts.jpg  |  producto  |  LINEA CESTO DE BASURA  |  Cesto de basura c/pedal 13lts
protector-c-ganchos-cortina-bano.jpg  |  producto  |  LINEA CORTINA BAÑO  |  PROTECTOR C/ GANCHOS CORTINA BAÑO
cortina-bano-c-protector-y-ganchos.jpg  |  producto  |  LINEA CORTINA BAÑO  |  Cortina baño C/protector y ganchos
cortina-plastica-de-tiras.jpg  |  producto  |  LINEA CORTINA PLASTICA  |  Cortina plastica de tiras
desinfectante-aerosol-lysoform.jpg  |  producto  |  LINEA DESODORANTE-DESINFECTANTE  |  Desinfectante aerosol lysoform
desodorante-de-ambiente-glade.jpg  |  producto  |  LINEA DESODORANTE-DESINFECTANTE  |  Desodorante de ambiente glade
desodorante-de-ambiente-fraganss.jpg  |  producto  |  LINEA DESODORANTE-DESINFECTANTE  |  Desodorante de ambiente fraganss
desodorante-de-ambiente-poett.jpg  |  producto  |  LINEA DESODORANTE-DESINFECTANTE  |  Desodorante de ambiente poett
desodorante-en-crema-rexona-60gr.jpg  |  producto  |  LINEA DESODORANTE-DESINFECTANTE  |  Desodorante en crema rexona 60gr
escarbadiente-con-dispenser.jpg  |  producto  |  LINEA ESCARABADIENTES  |  Escarbadiente con dispenser
